회사명,설립일,대표자명,업종,재무정보,기업주소
(주)동일기술공사,1965년 12월 11일                                (업력 60년차),이상학/황주환,건물 및 토목 엔지니어링 서비스업,매출액 996.9억 영업이익 3.1억 (2023년 기준) 전체),서울 송파구 송이로30길 7
(재)서울의과학연구소,1990년 10월 19일                                (업력 35년차),이관수,방사선 진단 및 병리 검사 의원,"매출액 2,716.6억 영업이익 - 124.4억 (2023년 기준) 전체)","경기 용인시 기흥구 흥덕1로 13, 24층, 25층, 26층, 27층 (영덕동,흥덕아이티밸리 타워동)"
(주)우원기술,2013년 11월 15일                                (업력 12년차),김태완,그 외 기타 특수목적용 기계 제조업,"매출액 3,359.8억 영업이익 799.2억 (2023년 기준) 전체)",경기 평택시 서탄면 서탄2로 176-25
한국이콜랩(유),1990년 12월 01일                                (업력 35년차),류양권,그 외 기타 분류 안된 화학제품 제조업,"매출액 1,970.5억 영업이익 118.2억 (2023년 기준) 전체)","서울 송파구 법원로 135, 8층 (문정동,소노타워)"
(주)펨트론,2002년 01월 15일                                (업력 23년차),유영웅,그 외 기타 특수목적용 기계 제조업,매출액 735.1억 영업이익 77.4억 (2023년 기준) 전체),"서울 금천구 가산디지털1로 219, 1406호 (가산동,벽산디지털밸리6차)"
볼보그룹코리아(주),1998년 05월 04일                                (업력 27년차),앤드류마크나이트,건설 및 채광용 기계장비 제조업,"매출액 2.1조 영업이익 1,042.8억 (2023년 기준) 전체)",경남 창원시 성산구 두산볼보로 160
(주)유베이스,1998년 12월 18일                                (업력 27년차),권상철,콜센터 및 텔레마케팅 서비스업,"매출액 4,267.9억 영업이익 125.7억 (2023년 기준) 전체)",서울 용산구 한강대로38길 37
(주)고운세상코스메틱,1999년 12월 18일                                (업력 26년차),이주호,화장품 제조업,"매출액 1,944.4억 영업이익 301.6억 (2023년 기준) 전체)","경기 성남시 분당구 분당로 55, 11층"
(주)삼구아이앤씨,1976년 05월 03일                                (업력 49년차),김형규/변상필,사업시설 유지ㆍ관리 서비스업,"매출액 8,517.2억 영업이익 157.6억 (2023년 기준) 전체)","서울 중구 청계천로 100, 동관 6층 (수표동,시그니쳐타워)"
현대종합금속(주),1975년 09월 03일                                (업력 50년차),김용덕/정은성,피복 및 충전 용접봉 제조업,"매출액 7,160.7억 영업이익 357.7억 (2023년 기준) 전체)","서울 강남구 테헤란로 507, 16층 (삼성동,위워크빌딩)"
(주)맥서브,1974년 01월 18일                                (업력 51년차),손재익/최우영,사업시설 유지ㆍ관리 서비스업,"매출액 5,473.3억 영업이익 56.9억 (2023년 기준) 전체)",서울 강남구 영동대로85길 28
(주)한국종합기술,1963년 03월 09일                                (업력 62년차),김치헌,건물 및 토목 엔지니어링 서비스업,-,경기 하남시 덕풍동로 111-21
한국수자원공사,1988년 07월 01일                                (업력 37년차),-,생활용수 공급업,"매출액 4.5조, 영업이익  2,887.4억 (2023년 기준)",경기 하남시 덕풍동로 111-21
(주)다우기술,1986년 01월 09일                                (업력 39년차),김윤덕,포털 및 기타 인터넷 정보매개 서비스업,-,"경기 성남시 수정구 금토로 69, 4층 (금토동,다우디지털스퀘어)"
(주)비즈테크아이,2003년 01월 09일                                (업력 22년차),권주오,컴퓨터시스템 통합 자문 및 구축 서비스업,"매출액 2,312.7억 영업이익 63억 (2023년 기준) 전체)","서울 마포구 매봉산로 75, 12층"
엘에스오토모티브테크놀로지스(주),2017년 08월 04일                                (업력 8년차),라경실/안관선,그 외 자동차용 신품 부품 제조업,"매출액 9,475.4억 영업이익 491.5억 (2023년 기준) 전체)","경기 안양시 동안구 시민대로 260, 20층 안양금융센터에이에프씨"
씨제이푸드빌(주),2000년 06월 07일                                (업력 25년차),김찬호,서양식 음식점업,-,"서울 중구 마른내로 34, 3~11층 (초동,(주)케이티앤지 을지로타워)"
(주)지아이티,1997년 05월 22일                                (업력 28년차),주현,"물질 검사, 측정 및 분석기구 제조업","매출액 1,003.4억 영업이익 227.4억 (2023년 기준) 전체)","서울 중구 마른내로 34, 3~11층 (초동,(주)케이티앤지 을지로타워)"
삼성디스플레이(주),2012년 04월 03일                                (업력 13년차),최주선,유기발광 표시장치 제조업,매출액 27조 영업이익 3.7조 (2023년 기준) 전체),서울 송파구 마천로 87
(주)두산테스나,2002년 09월 06일                                (업력 23년차),김도원/김윤건,물질성분 검사 및 분석업,-,경기 평택시 산단로16번길 72
효성티앤에스(주),1986년 11월 27일                                (업력 39년차),최방섭,사무용 기계 및 장비 제조업,"매출액 6,581.1억 영업이익 48.2억 (2023년 기준) 전체)",경기 용인시 기흥구 삼성로 1
