"회사명","제목","공고링크","지역","경력","학력","마감일","고용형태","연봉정보"
"에이블메디스킨 분당","(주3.5일)분당 에이블메디스킨 정규채용(인센,워라벨,피부과X)","https://www.saramin.co.krundefined","경기 성남시 분당구 외","경력무관 · 정규직 외","학력무관","~01.15(수)","인턴","3,000 만원"
"(주)한국리서치","마케팅/여론조사 사업부 인턴 연구원 채용(마케팅조사사업본부 )","https://www.saramin.co.krundefined","서울 강남구","경력무관 · 인턴직","대학교(4년)↑","D-5","인턴","면접 후 협의"
"네이버클라우드(주)","[네이버] NAVER Cloud Applied Scientist (체험형 인턴)","https://www.saramin.co.krundefined","경기 성남시 분당구","신입 · 인턴직","대학교(4년)↑","D-5","인턴","면접 후 협의"
"네이버클라우드(주)","[네이버] NAVER Cloud Multimodal LLM 모델 개발(체험형 인턴)","https://www.saramin.co.krundefined","경기 성남시 분당구","신입 · 인턴직","대학교(4년)↑","~12.30(월)","인턴","면접 후 협의"
"(주)아너스팜","경영지원팀 회계·재무·세무·IR 신입&amp;경력 채용 공고","https://www.saramin.co.krundefined","대구 서구","신입 · 경력 · 정규직 외","대학(2,3년)↑","채용시","인턴","면접 후 협의"
"(주)세샤트","전자책 콘텐츠 운영 인턴","https://www.saramin.co.krundefined","서울 마포구","경력무관 · 인턴직","학력무관","채용시","인턴","면접 후 협의"
"주식회사 줄갭","[콘텐츠 마케터] 이 공고가 여러분의 가슴을 뛰게 합니까","https://www.saramin.co.krundefined","서울 서초구","경력무관 · 인턴직","학력무관","~01.14(화)","인턴","3,000 만원"
"(주)센솔테크놀로지","사무행정(디자인) 인재 모집","https://www.saramin.co.krundefined","대전 대덕구","경력무관 · 정규직 외","학력무관","~01.14(화)","인턴","면접 후 협의"
"퀘스(Ques)","2025 퀘스 경영지원 매니저를 모집합니다","https://www.saramin.co.krundefined","대구 수성구","경력무관 · 정규직 외","대학교(4년)↑","~12.29(일)","인턴","면접 후 협의"
"(주)센솔테크놀로지","전기/전자(센서) 기술직 인재 모집","https://www.saramin.co.krundefined","대전 대덕구","경력무관 · 정규직 외","학력무관","~01.13(월)","인턴","면접 후 협의"
"(주)훌리악","UNITY 기반의 미디어 어플리케이션 개발자를 모십니다.","https://www.saramin.co.krundefined","경기 부천시 원미구","신입 · 정규직 외","학력무관","~01.13(월)","인턴","면접 후 협의"
"주식회사케이위드유","외국인 비자 사무 보조 및 마케팅 모집 (중국)","https://www.saramin.co.krundefined","대전 중구","경력무관 · 정규직 외","대학교(4년)↑","상시채용","인턴","면접 후 협의"
"(주)한독모터스","BMW 한독모터스 서비스센터 직원 채용","https://www.saramin.co.krundefined","서울 서초구 외","경력무관 · 정규직 외","학력무관","~01.05(일)","인턴","면접 후 협의"
"(주)동심","경영지원 채용연계형(인턴,계약직) 총무,사무 직원채용 공고","https://www.saramin.co.krundefined","서울 서초구","경력무관 · 계약직 외","대학(2,3년)↑","~01.12(일)","인턴","면접 후 협의"
"(주)엠서클","[엠서클] 경영관리실 재경팀 회계담당자","https://www.saramin.co.krundefined","서울 강남구","경력무관 · 정규직 외","학력무관","~12.30(월)","인턴","면접 후 협의"
"(주)에스티네오","2025상반기 포토그라퍼&amp;리터쳐&amp;포토샵 외 경력무관 채용","https://www.saramin.co.krundefined","서울 강남구","경력무관 · 정규직 외","고졸↑","~01.12(일)","인턴","2,800 만원"
"(주)여보야","[요즘 대세 라이브] 달라(DALLA) 시각/광고 디자이너 채용","https://www.saramin.co.krundefined","광주 서구","경력무관 · 정규직 외","학력무관","~02.11(화)","인턴","면접 후 협의"
"(주)한유","인천국제공항 급유시설 신입직 채용(인턴)","https://www.saramin.co.krundefined","인천 중구","신입 · 인턴직","고졸↑","~12.26(목)","인턴","면접 후 협의"
"(주) bicena","인턴 채용[미슐랭스타 한식] 시그니엘 81층.홀서빙 업무","https://www.saramin.co.krundefined","서울 송파구 외","경력무관 · 인턴직","학력무관","D-3","인턴","면접 후 협의"
"(주)안랩","[인턴] 2025 상반기 현장실습인턴 추가 모집 (인공지능)","https://www.saramin.co.krundefined","경기 성남시 분당구","경력무관 · 인턴직","학력무관","D-4","인턴","면접 후 협의"
"(주)플리토","[플리토] 글로벌 마케팅 인턴 채용","https://www.saramin.co.krundefined","서울 강남구","신입 · 인턴직","대학교(4년)↑","D-4","인턴","면접 후 협의"
"(주)크레이버코퍼레이션","[ Craver ] 뷰티 브랜드 SKIN1004 상품운영/지원 인턴 채용","https://www.saramin.co.krundefined","서울 강남구 외","경력무관 · 인턴직","학력무관","채용시","인턴","면접 후 협의"
"(주)바이오톡스텍","(주)바이오톡스텍 재경실 결산 담당자  채용","https://www.saramin.co.krundefined","충북 청주시 청원구","경력 5년↑ · 정규직 외","대학교(4년)↑","~01.12(일)","인턴","면접 후 협의"
"(주)아이샵케어","[아이샵케어] 리크루팅 인턴 (6개월, 정규직 전환형)","https://www.saramin.co.krundefined","서울 강남구 외","신입 · 경력 · 인턴직","학력무관","~12.31(화)","인턴","면접 후 협의"
"(주)제일엔지니어링종합건축사사무소","2025년 상반기 KOICA ODA 영프로페셔널(YP)모집","https://www.saramin.co.krundefined","서울 서초구","경력무관 · 인턴직","학력무관","~12.27(금)","인턴","210 만원"
"홀푸드코리아(주)","온라인영업팀 대학생 인턴 채용","https://www.saramin.co.krundefined","서울 강서구","신입 · 인턴직","대학교(4년)↑","D-5","인턴","13,000 원"
"(주)데이원컴퍼니","[패스트캠퍼스] [전환형인턴] 콘텐츠 상품 기획자","https://www.saramin.co.krundefined","서울 강남구","신입 · 인턴직","학력무관","~01.12(일)","인턴","3,100 만원"
"(주)와그","[WAUG]와그 B2B팀 인턴 채용","https://www.saramin.co.krundefined","서울 종로구","신입 · 인턴직","학력무관","~12.31(화)","인턴","면접 후 협의"
"(주)태종에프디","[태종에프디] 냉동간편식 국/탕류 생산관리자 인턴/신입 모집","https://www.saramin.co.krundefined","경기 용인시 처인구","경력무관 · 정규직 외","대학(2,3년)↑","~01.12(일)","인턴","면접 후 협의"
"(주)엔이에스","엔이에스 사업부 인재 채용(주5일 근무)","https://www.saramin.co.krundefined","충북 청주시 청원구","1 ~ 15년 · 정규직 외","학력무관","~01.12(일)","인턴","면접 후 협의"
"(주)에스와이에스리테일","[전자랜드] 울산지역 모바일 인턴사원 채용","https://www.saramin.co.krundefined","울산 북구","신입 · 경력 · 인턴직","학력무관","채용시","인턴","면접 후 협의"
"(주)그립컴퍼니","[그립컴퍼니] 라이브 방송 제작 지원 AD(인턴/6개월)","https://www.saramin.co.krundefined","경기 성남시 분당구","경력무관 · 인턴직","학력무관","채용시","인턴","210 만원"
