"회사명","제목","공고링크","지역","마감일","가까운역"
"위시컴퍼니(주)","[위시컴퍼니] 각 부문 신입/경력 채용","https://www.saramin.co.krundefined","서울 강남구","~01.12(일)","2수인분당선릉역 도보 7분 이내"
"(주)다스카손해사정화재해상","[삼성화재장기심사팀]  [대구] 팀장 &amp; 팀원 공개 채용","https://www.saramin.co.krundefined","대구 중구","D-4","2센텀시티역 도보 12분 이내"
"(주)거상","(주)거상(철강 무역) 국내,외 수출관련 영업직 경력사원","https://www.saramin.co.krundefined","경기 성남시 분당구","~01.11(토)","수인분당신분당정자역 도보 3분 이내"
"버스티브이(주)","LED전광판, 버스광고 정규직 영업사원 모집","https://www.saramin.co.krundefined","서울 서초구","D-3","23교대역 도보 7분 이내"
"(주)피라인모터스","각 분야별 신입 및 경력 채용","https://www.saramin.co.krundefined","서울 금천구 외","~01.12(일)","7춘의역 도보 4분 이내"
"(주)중앙청과","(주)중앙청과 과일본부(농산물경매) 신입 채용","https://www.saramin.co.krundefined","서울 송파구","채용시","8송파역 도보 12분 이내"
"(주)원탑","(정규직) 남/녀 대기업협력사 PC램카드[상여금500/분기별성과금]","https://www.saramin.co.krundefined","충남 아산시 외","~01.16(목)","1신창역 도보 4분 이내"
"(주)라이브러리컴퍼니","공연팀 / 콘서트팀 / 아티스트 마케팅 기획자 모집","https://www.saramin.co.krundefined","서울 서초구","~02.14(금)","23교대역 도보 4분 이내"
"공영기업(주)","KT&amp;G 경영임원 사무보조(비서) 채용공고","https://www.saramin.co.krundefined","서울 강남구","~01.10(금)","2삼성역 도보 7분 이내"
"(주)덴티스","(주)덴티스 마케팅PM 인원 채용","https://www.saramin.co.krundefined","서울 금천구","~01.17(금)","17가산디지털단지역 도보 3분 이내"
"(주)덴티스","(주)덴티스 덴탈 마케팅본부 본부장 채용","https://www.saramin.co.krundefined","서울 금천구","~01.17(금)","17가산디지털단지역 도보 3분 이내"
"(주)라이프블루","[스포츠 기업] 사업 제안서 및 행정 지원 담당자 채용","https://www.saramin.co.krundefined","경기 김포시","상시채용","김포골드구래역 도보 7분 이내"
"탑영어수학전문학원","초중등 영어전임 경력무관 모집 공고","https://www.saramin.co.krundefined","대전 동구","~01.17(금)","1신흥역 도보 7분 이내"
"더핑크퐁컴퍼니(주)","[더핑크퐁컴퍼니] 글로벌 앱 제휴 마케터 인턴 (정규직 전환형)","https://www.saramin.co.krundefined","서울 서초구","~01.08(수)","2서초역 도보 4분 이내"
